item_id,price
te_00000,4403
te_00001,15071
te_00002,6243
te_00003,11336
te_00004,8647
te_00005,4736
te_00006,7265
te_00007,2989
te_00008,7386
te_00009,1812
te_00010,2834
te_00011,8473
te_00012,2923
te_00013,17531
te_00014,7282
te_00015,33565
te_00016,29768
te_00017,532
te_00018,17474
te_00019,21317
te_00020,945
te_00021,10240
te_00022,16231
te_00023,8142
te_00024,2712
te_00025,9530
te_00026,11013
te_00027,6832
te_00028,28016
te_00029,7492
te_00030,8325
te_00031,15400
te_00032,5547
te_00033,26333
te_00034,1539
te_00035,1247
te_00036,2383
te_00037,7226
te_00038,4311
te_00039,31267
te_00040,12050
te_00041,12597
te_00042,37322
te_00043,1575
te_00044,2500
te_00045,3506
te_00046,3693
te_00047,5398
te_00048,8898
te_00049,1533
te_00050,3347
te_00051,14420
te_00052,4171
te_00053,6110
te_00054,6853
te_00055,7942
te_00056,5832
te_00057,10288
te_00058,16449
te_00059,5694
te_00060,37802
te_00061,7985
te_00062,4198
te_00063,9517
te_00064,4447
te_00065,4028
te_00066,5449
te_00067,4629
te_00068,2740
te_00069,10229
te_00070,6290
te_00071,36461
te_00072,7182
te_00073,11323
te_00074,2112
te_00075,3502
te_00076,4889
te_00077,25262
te_00078,6461
te_00079,4439
te_00080,4966
te_00081,4695
te_00082,4027
te_00083,2426
te_00084,12419
te_00085,2243
te_00086,45067
te_00087,4317
te_00088,42537
te_00089,2958
te_00090,2262
te_00091,6254
te_00092,17808
te_00093,7767
te_00094,7893
te_00095,3695
te_00096,12849
te_00097,3158
te_00098,19130
te_00099,4768
te_00100,4633
te_00101,9477
te_00102,5166
te_00103,5178
te_00104,3946
te_00105,12343
te_00106,15594
te_00107,25105
te_00108,5938
te_00109,3458
te_00110,9237
te_00111,21423
te_00112,3603
te_00113,18384
te_00114,6365
te_00115,6956
te_00116,23188
te_00117,9113
te_00118,5058
te_00119,2198
te_00120,12494
te_00121,8333
te_00122,36763
te_00123,11996
te_00124,2975
te_00125,9013
te_00126,12958
te_00127,2746
te_00128,15502
te_00129,1794
te_00130,5964
te_00131,17103
te_00132,3709
te_00133,8048
te_00134,3698
te_00135,1283
te_00136,13800
te_00137,13891
te_00138,5376
te_00139,5880
te_00140,2879
te_00141,4725
te_00142,7532
te_00143,9279
te_00144,9827
te_00145,9467
te_00146,15361
te_00147,13306
te_00148,2015
te_00149,1623
te_00150,10779
te_00151,7376
te_00152,36401
te_00153,26333
te_00154,20164
te_00155,8098
te_00156,15101
te_00157,16929
te_00158,5240
te_00159,7447
te_00160,6362
te_00161,18041
te_00162,1897
te_00163,2383
te_00164,2193
te_00165,26200
te_00166,2738
te_00167,5367
te_00168,6020
te_00169,5110
te_00170,3095
te_00171,38522
te_00172,19005
te_00173,8632
te_00174,13581
te_00175,10866
te_00176,4770
te_00177,17256
te_00178,30661
te_00179,23024
te_00180,1345
te_00181,9557
te_00182,13418
te_00183,25852
te_00184,8536
te_00185,12095
te_00186,18870
te_00187,1643
te_00188,6152
te_00189,26588
te_00190,3576
te_00191,15698
te_00192,2545
te_00193,6709
te_00194,9202
te_00195,1555
te_00196,5197
te_00197,14228
te_00198,3023
te_00199,9402
te_00200,8346
te_00201,7541
te_00202,6284
te_00203,13281
te_00204,800
te_00205,10460
te_00206,4522
te_00207,2039
te_00208,3543
te_00209,9040
te_00210,11856
te_00211,2572
te_00212,24401
te_00213,62588
te_00214,4176
te_00215,16002
te_00216,6649
te_00217,38721
te_00218,6770
te_00219,2011
te_00220,5487
te_00221,3807
te_00222,6111
te_00223,34511
te_00224,18062
te_00225,9933
te_00226,4697
te_00227,9789
te_00228,5401
te_00229,7147
te_00230,2549
te_00231,8542
te_00232,1165
te_00233,7067
te_00234,13667
te_00235,13797
te_00236,23541
te_00237,4222
te_00238,18469
te_00239,4917
te_00240,4765
te_00241,1838
te_00242,16692
te_00243,28267
te_00244,5220
te_00245,6776
te_00246,7921
te_00247,7890
te_00248,4578
te_00249,5463
te_00250,2992
te_00251,29185
te_00252,10892
te_00253,12225
te_00254,4415
te_00255,3254
te_00256,9946
te_00257,5597
te_00258,6236
te_00259,13765
te_00260,555
te_00261,2700
te_00262,18234
te_00263,18643
te_00264,31094
te_00265,9336
te_00266,27021
te_00267,2869
te_00268,26297
te_00269,3482
te_00270,2050
te_00271,1684
te_00272,4839
te_00273,15333
te_00274,7471
te_00275,70976
te_00276,7000
te_00277,10591
te_00278,8152
te_00279,7106
te_00280,12481
te_00281,1637
te_00282,8870
te_00283,2328
te_00284,4331
te_00285,7550
te_00286,14681
te_00287,21051
te_00288,70789
te_00289,4726
te_00290,3459
te_00291,1752
te_00292,2283
te_00293,9907
te_00294,1619
te_00295,5367
te_00296,4324
te_00297,11943
te_00298,20316
te_00299,7173
te_00300,17924
te_00301,14542
te_00302,3236
te_00303,7284
te_00304,34176
te_00305,3818
te_00306,3063
te_00307,3783
te_00308,2401
te_00309,10120
te_00310,4629
te_00311,1350
te_00312,14923
te_00313,5814
te_00314,3873
te_00315,17907
te_00316,15009
te_00317,3261
te_00318,6417
te_00319,5980
te_00320,16376
te_00321,21529
te_00322,828
te_00323,14194
te_00324,9272
te_00325,2556
te_00326,36489
te_00327,17640
te_00328,2617
te_00329,3073
te_00330,6715
te_00331,11588
te_00332,20046
te_00333,2171
te_00334,2502
te_00335,13206
te_00336,1169
te_00337,4961
te_00338,17716
te_00339,4022
te_00340,6150
te_00341,4566
te_00342,12225
te_00343,7324
te_00344,3692
te_00345,9627
te_00346,2615
te_00347,16151
te_00348,11117
te_00349,12739
te_00350,6172
te_00351,29863
te_00352,4826
te_00353,7214
te_00354,10133
te_00355,479
te_00356,3310
te_00357,25801
te_00358,6457
te_00359,9909
te_00360,1405
te_00361,8323
te_00362,12535
te_00363,2386
te_00364,8413
te_00365,7745
te_00366,8137
te_00367,10434
te_00368,5380
te_00369,1714
te_00370,14888
te_00371,1573
te_00372,16277
te_00373,876
te_00374,5593
te_00375,7876
te_00376,12217
te_00377,8031
te_00378,9012
te_00379,18610
te_00380,2628
te_00381,30701
te_00382,13536
te_00383,72707
te_00384,16683
te_00385,12771
te_00386,3197
te_00387,4356
te_00388,29541
te_00389,1652
te_00390,7565
te_00391,24997
te_00392,1199
te_00393,1041
te_00394,3225
te_00395,8520
te_00396,1265
te_00397,19389
te_00398,2163
te_00399,4724
te_00400,10298
te_00401,8228
te_00402,1953
te_00403,15598
te_00404,1872
te_00405,3596
te_00406,8968
te_00407,5954
te_00408,29604
te_00409,2330
te_00410,3821
te_00411,22370
te_00412,2845
te_00413,5567
te_00414,1383
te_00415,6066
te_00416,1269
te_00417,8546
te_00418,39435
te_00419,12042
te_00420,5949
te_00421,12610
te_00422,10027
te_00423,16733
te_00424,66785
te_00425,3636
te_00426,15314
te_00427,31438
te_00428,1346
te_00429,7395
te_00430,11827
te_00431,1320
te_00432,32178
te_00433,1851
te_00434,2936
te_00435,20415
te_00436,3633
te_00437,2247
te_00438,10494
te_00439,7146
te_00440,5031
te_00441,12939
te_00442,8470
te_00443,4792
te_00444,8000
te_00445,16895
te_00446,47112
te_00447,16872
te_00448,2999
te_00449,5151
te_00450,14406
te_00451,4280
te_00452,9550
te_00453,3497
te_00454,7473
te_00455,27944
te_00456,3170
te_00457,24072
te_00458,11882
te_00459,5688
te_00460,1803
te_00461,971
te_00462,9836
te_00463,11124
te_00464,4285
te_00465,6642
te_00466,15575
te_00467,5868
te_00468,9414
te_00469,3324
te_00470,4080
te_00471,8730
te_00472,9812
te_00473,6977
te_00474,4426
te_00475,12607
te_00476,12349
te_00477,1866
te_00478,5944
te_00479,30746
te_00480,23588
te_00481,4733
te_00482,2919
te_00483,72297
te_00484,11982
te_00485,6834
te_00486,1969
te_00487,9641
te_00488,9990
te_00489,17143
te_00490,25979
te_00491,20334
te_00492,23103
te_00493,3172
te_00494,28010
te_00495,4487
te_00496,14590
te_00497,2591
te_00498,8424
te_00499,10330
te_00500,14338
te_00501,4374
te_00502,8592
te_00503,6476
te_00504,8794
te_00505,1867
te_00506,6371
te_00507,2747
te_00508,1273
te_00509,23799
te_00510,989
te_00511,5177
te_00512,6233
te_00513,13188
te_00514,3565
te_00515,4356
te_00516,7268
te_00517,4880
te_00518,2901
te_00519,801
te_00520,4108
te_00521,10577
te_00522,1679
te_00523,14833
te_00524,7362
te_00525,5627
te_00526,6176
te_00527,2861
te_00528,4598
te_00529,3904
te_00530,2916
te_00531,15810
te_00532,22256
te_00533,1941
te_00534,3787
te_00535,7098
te_00536,3114
te_00537,4286
te_00538,1555
te_00539,14293
te_00540,2772
te_00541,4375
te_00542,1442
te_00543,3489
te_00544,12487
te_00545,2570
te_00546,4965
te_00547,22591
te_00548,2363
te_00549,841
te_00550,7004
te_00551,14984
te_00552,20113
te_00553,4697
te_00554,1819
te_00555,18701
te_00556,5298
te_00557,1551
te_00558,7425
te_00559,2630
te_00560,6309
te_00561,4764
te_00562,2841
te_00563,23878
te_00564,2855
te_00565,7473
te_00566,1091
te_00567,3268
te_00568,9613
te_00569,16033
te_00570,40457
te_00571,19845
te_00572,14215
te_00573,10051
te_00574,2565
te_00575,8663
te_00576,8030
te_00577,25367
te_00578,6410
te_00579,4395
te_00580,6639
te_00581,7732
te_00582,10217
te_00583,30675
te_00584,8603
te_00585,1765
te_00586,39397
te_00587,15393
te_00588,7054
te_00589,7809
te_00590,29063
te_00591,1065
te_00592,21949
te_00593,10680
te_00594,36246
te_00595,1568
te_00596,4020
te_00597,5254
te_00598,8320
te_00599,6173
te_00600,6287
te_00601,32830
te_00602,825
te_00603,9118
te_00604,8503
te_00605,17900
te_00606,1843
te_00607,4881
te_00608,3337
te_00609,1986
te_00610,2782
te_00611,1713
te_00612,10293
te_00613,14192
te_00614,3399
te_00615,3385
te_00616,12295
te_00617,9855
te_00618,1004
te_00619,3686
te_00620,19033
te_00621,6819
te_00622,27776
te_00623,22298
te_00624,1272
te_00625,4600
te_00626,5681
te_00627,7792
te_00628,6834
te_00629,5420
te_00630,6504
te_00631,3496
te_00632,15386
te_00633,6713
te_00634,4520
te_00635,40219
te_00636,7559
te_00637,11312
te_00638,1138
te_00639,4418
te_00640,3521
te_00641,5026
te_00642,20053
te_00643,8061
te_00644,1922
te_00645,2630
te_00646,25073
te_00647,1014
te_00648,14180
te_00649,4436
te_00650,3428
te_00651,7146
te_00652,17378
te_00653,8449
te_00654,4813
te_00655,8119
te_00656,4286
te_00657,22160
te_00658,10886
te_00659,6471
te_00660,1726
te_00661,1659
te_00662,2282
te_00663,2336
te_00664,6828
te_00665,6363
te_00666,27292
te_00667,9923
te_00668,2138
te_00669,39049
te_00670,21405
