image_id,product_key,label,is_variant
PR0069_0.png,PR0069,book,0
PR0296_0.png,PR0296,plate,0
PR0087_0.png,PR0087,plate,0
PR0034_0.png,PR0034,bottle,0
PR0107_0.png,PR0107,plate,0
PR0475_0.png,PR0475,shoe,0
PR0373_1.png,PR0373,shoe,1
PR0127_0.png,PR0127,shirt,0
PR0348_0.png,PR0348,shoe,0
PR0410_1.png,PR0410,shoe,1
PR0310_1.png,PR0310,shirt,1
PR0427_0.png,PR0427,book,0
PR0137_0.png,PR0137,shirt,0
PR0465_0.png,PR0465,bottle,0
PR0280_0.png,PR0280,shirt,0
PR0176_2.png,PR0176,book,1
PR0213_0.png,PR0213,shirt,0
PR0391_1.png,PR0391,shoe,1
PR0332_1.png,PR0332,plate,1
PR0238_0.png,PR0238,shirt,0
PR0128_0.png,PR0128,shoe,0
PR0333_2.png,PR0333,shirt,1
PR0244_0.png,PR0244,book,0
PR0436_1.png,PR0436,bottle,1
PR0286_1.png,PR0286,book,1
PR0351_0.png,PR0351,book,0
PR0040_0.png,PR0040,shoe,0
PR0309_0.png,PR0309,book,0
PR0005_0.png,PR0005,plate,0
PR0215_1.png,PR0215,shoe,1
PR0092_0.png,PR0092,shoe,0
PR0207_0.png,PR0207,shirt,0
PR0489_0.png,PR0489,bottle,0
PR0261_0.png,PR0261,book,0
PR0054_0.png,PR0054,shirt,0
PR0438_0.png,PR0438,plate,0
PR0215_0.png,PR0215,shoe,0
PR0225_1.png,PR0225,shirt,1
PR0466_1.png,PR0466,plate,1
PR0301_0.png,PR0301,bottle,0
PR0140_2.png,PR0140,bottle,1
PR0298_1.png,PR0298,plate,1
PR0492_0.png,PR0492,bottle,0
PR0461_2.png,PR0461,plate,1
PR0156_0.png,PR0156,plate,0
PR0117_1.png,PR0117,bottle,1
PR0126_1.png,PR0126,shirt,1
PR0456_1.png,PR0456,bottle,1
PR0079_1.png,PR0079,shoe,1
PR0151_1.png,PR0151,shoe,1
PR0282_0.png,PR0282,shirt,0
